CCN,State,Provider Name,City,Ownership Type,ESRD Network,NPI,Chain Name,Modality,Alternate CCN(s)
12306,AL,CHILDRENS HOSPITAL OF ALABAMA ESRD,BIRMINGHAM,Non-profit,8,1720166085,INDEPENDENT,Hemodialysis and Peritoneal Dialysis,"012306,013300"
12500,AL,FMC CAPITOL CITY,MONTGOMERY,For Profit,8,1780796532,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012500
12501,AL,GADSDEN DIALYSIS,GADSDEN,For Profit,8,1215900444,DAVITA,Hemodialysis,012501
12502,AL,TUSCALOOSA UNIVERSITY DIALYSIS,TUSCALOOSA,For Profit,8,1003889171,DAVITA,Hemodialysis and Peritoneal Dialysis,012502
12505,AL,PHYSICIANS CHOICE DIALYSIS-MONTGOMERY,MONTGOMERY,For Profit,8,1760446199,DAVITA,Hemodialysis and Peritoneal Dialysis,012505
12506,AL,DOTHAN DIALYSIS,DOTHAN,For Profit,8,.,DAVITA,Hemodialysis and Peritoneal Dialysis,012506
12507,AL,BMA MOBILE,MOBILE,For Profit,8,1932211778,FRESENIUS MEDICAL CARE,Hemodialysis,012507
12508,AL,BIRMINGHAM EAST DIALYSIS,BIRMINGHAM,For Profit,8,1598738080,DAVITA,Hemodialysis,012508
12509,AL,NORTH ALABAMA NEPHROLOGY CENTER,HUNTSVILLE,For Profit,8,1518069939,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012509
12512,AL,FMC DIALYSIS SERVICES SELMA,SELMA,For Profit,8,1922100304,FRESENIUS MEDICAL CARE,Hemodialysis,012512
12513,AL,BMA LANGDALE,VALLEY,For Profit,8,1023120862,FRESENIUS MEDICAL CARE,Hemodialysis,012513
12515,AL,FRESENIUS MEDICAL CARE OPELIKA,OPELIKA,For Profit,8,1598877342,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012515
12516,AL,US RENAL CARE SOUTH DIALYSIS,BIRMINGHAM,For Profit,8,1558317529,DIVERSIFIED SPECIALTY INSTITUTES (DSI),Hemodialysis and Peritoneal Dialysis,012516
12517,AL,ATHENS DIALYSIS,ATHENS,For Profit,8,1942272414,DAVITA,Hemodialysis and Peritoneal Dialysis,012517
12519,AL,BMA SCOTTSBORO DIALYSIS CENTER,SCOTTSBORO,For Profit,8,1205948031,FRESENIUS MEDICAL CARE,Hemodialysis,012519
12520,AL,FRESENIUS KIDNEY CARE TROY,TROY,For Profit,8,1407968258,FRESENIUS MEDICAL CARE,Hemodialysis,012520
12521,AL,"DIALYSIS CLINIC, INC/DOTHAN",DOTHAN,Non-profit,8,1841223328,"DIALYSIS CLINIC, INC.",Hemodialysis and Peritoneal Dialysis,012521
12522,AL,HUNTSVILLE DIALYSIS CENTER,HUNTSVILLE,For Profit,8,1588776314,FRESENIUS MEDICAL CARE,Hemodialysis,012522
12523,AL,PHENIX CITY DIALYSIS CENTER,PHENIX CITY,For Profit,8,1003870445,DAVITA,Hemodialysis and Peritoneal Dialysis,012523
12524,AL,BMA OF EAST MOBILE,MOBILE,For Profit,8,1568574317,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012524
