Measure ID,Measure
pahy1_f,"F: Prevalent Patients - End of Year Status: Number of patients alive in this facility, 2016"
agey1_f,"F: Prevalent Patients - Age: Average patient age, 12/31/2016"
viny1_f,"F: Prevalent Patients - Vintage: Average Years of Prior ESRD Therapy, 12/31/2016"
age1y1_f,"F: Prevalent Patients - Age: % Less than 18 years, 12/31/2016"
age2y1_f,"F: Prevalent Patients - Age: % Between 18-64 years, 12/31/2016"
age3y1_f,"F: Prevalent Patients - Age: % Greater than or equal to 65 years, 12/31/2016"
dis1y1_f,"F: Prevalent Patients - Primary Cause of ESRD: % Diabetes, 12/31/2016"
dis2y1_f,"F: Prevalent Patients - Primary Cause of ESRD: % Hypertension, 12/31/2016"
dis3y1_f,"F: Prevalent Patients - Primary Cause of ESRD: % Glomerulonephritis, 12/31/2016"
dis4y1_f,"F: Prevalent Patients - Primary Cause of ESRD: % Other/Unknown Cause, 12/31/2016"
dis5y1_f,"F: Prevalent Patients - Primary Cause of ESRD: % Missing Cause, 12/31/2016"
rac1y1_f,"F: Prevalent Patients - Race: % Asian/Pacific Islander, 12/31/2016"
rac2y1_f,"F: Prevalent Patients - Race: % African American, 12/31/2016"
rac3y1_f,"F: Prevalent Patients - Race: % Native American, 12/31/2016"
rac4y1_f,"F: Prevalent Patients - Race: % White, 12/31/2016"
rac5y1_f,"F: Prevalent Patients - Race: % Other/Unknown/Missing race, 12/31/2016"
eth1y1_f,"F: Prevalent Patients - Ethnicity: % Hispanic, 12/31/2016"
eth2y1_f,"F: Prevalent Patients - Ethnicity: % Non-Hispanic, 12/31/2016"
eth3y1_f,"F: Prevalent Patients - Ethnicity: % Unknown Ethnicity, 12/31/2016"
vin1y1_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy less than 1 year, 12/31/2016"
vin2y1_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for 1-2 years, 12/31/2016"
vin3y1_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for 2-3 years, 12/31/2016"
vin4y1_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for 3-6 years, 12/31/2016"
vin5y1_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for over 6 years, 12/31/2016"
sexy1_f,"F: Prevalent Patients - Sex: % Female, 12/31/2016"
nrshomey1_f,"F: Prevalent Patients - Nursing Home: % of Nursing Home Facility Patients During Year, 12/31/2016"
modhdy1_f,"F: Prevalent Patients - Modality: % on Hemodialysis, 12/31/2016"
modhhdy1_f,"F: Prevalent Patients - Modality: % on Home Hemodialysis, 12/31/2016"
modcapdy1_f,"F: Prevalent Patients - Modality: % on Continuous Ambulatory Peritoneal Dialysis, 12/31/2016"
modccpdy1_f,"F: Prevalent Patients - Modality: % on Continuous Cycling Peritoneal Dialysis, 12/31/2016"
modothry1_f,"F: Prevalent Patients - Modality: % on Other Modality, 12/31/2016"
pahy2_f,"F: Prevalent Patients - End of Year Status: Number of patients alive in this facility, 2017"
agey2_f,"F: Prevalent Patients - Age: Average patient age, 12/31/2017"
viny2_f,"F: Prevalent Patients - Vintage: Average Years of Prior ESRD Therapy, 12/31/2017"
age1y2_f,"F: Prevalent Patients - Age: % Less than 18 years, 12/31/2017"
age2y2_f,"F: Prevalent Patients - Age: % Between 18-64 years, 12/31/2017"
age3y2_f,"F: Prevalent Patients - Age: % Greater than or equal to 65 years, 12/31/2017"
dis1y2_f,"F: Prevalent Patients - Primary Cause of ESRD: % Diabetes, 12/31/2017"
dis2y2_f,"F: Prevalent Patients - Primary Cause of ESRD: % Hypertension, 12/31/2017"
dis3y2_f,"F: Prevalent Patients - Primary Cause of ESRD: % Glomerulonephritis, 12/31/2017"
dis4y2_f,"F: Prevalent Patients - Primary Cause of ESRD: % Other/Unknown Cause, 12/31/2017"
dis5y2_f,"F: Prevalent Patients - Primary Cause of ESRD: % Missing Cause, 12/31/2017"
rac1y2_f,"F: Prevalent Patients - Race: % Asian/Pacific Islander, 12/31/2017"
rac2y2_f,"F: Prevalent Patients - Race: % African American, 12/31/2017"
rac3y2_f,"F: Prevalent Patients - Race: % Native American, 12/31/2017"
rac4y2_f,"F: Prevalent Patients - Race: % White, 12/31/2017"
rac5y2_f,"F: Prevalent Patients - Race: % Other/Unknown/Missing race, 12/31/2017"
eth1y2_f,"F: Prevalent Patients - Ethnicity: % Hispanic, 12/31/2017"
eth2y2_f,"F: Prevalent Patients - Ethnicity: % Non-Hispanic, 12/31/2017"
eth3y2_f,"F: Prevalent Patients - Ethnicity: % Unknown Ethnicity, 12/31/2017"
vin1y2_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy less than 1 year, 12/31/2017"
vin2y2_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for 1-2 years, 12/31/2017"
vin3y2_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for 2-3 years, 12/31/2017"
vin4y2_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for 3-6 years, 12/31/2017"
vin5y2_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for over 6 years, 12/31/2017"
